address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,,Alberta,300,,,25.9.14 22:30
2,28 MySQL Boulevard,,QLD,576,,,25.9.14 22:30
3,23 Workhaven Lane,,Alberta,300,,14033335568,25.9.14 22:30
4,1411 Lillydale Drive,,QLD,576,,6172235589,25.9.14 22:30
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,25.9.14 22:31
6,1121 Loja Avenue,,California,449,17886,8.38635E+11,25.9.14 22:34
7,692 Joliet Street,,Attika,38,83579,4.48477E+11,25.9.14 22:31
8,1566 Inegl Manor,,Mandalay,349,53561,7.05814E+11,25.9.14 22:32
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,25.9.14 22:33
10,1795 Santiago de Compostela Way,,Texas,295,18743,8.60453E+11,25.9.14 22:33
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,7.16571E+11,25.9.14 22:34
12,478 Joliet Way,,Hamilton,200,77948,6.57282E+11,25.9.14 22:32
13,613 Korolev Drive,,Masqat,329,45844,3.80658E+11,25.9.14 22:32
14,1531 Sal Drive,,Esfahan,162,53628,6.48857E+11,25.9.14 22:31
15,1542 Tarlac Parkway,,Kanagawa,440,1027,6.35297E+11,25.9.14 22:31
16,808 Bhopal Manor,,Haryana,582,10672,4.65888E+11,25.9.14 22:31
17,270 Amroha Parkway,,Osmaniye,384,29610,6.9548E+11,25.9.14 22:33
18,770 Bydgoszcz Avenue,,California,120,16266,5.17338E+11,25.9.14 22:33
19,419 Iligan Lane,,Madhya Pradesh,76,72878,9.90911E+11,25.9.14 22:31
20,360 Toulouse Parkway,,England,495,54308,9.49312E+11,25.9.14 22:33
21,270 Toulon Boulevard,,Kalmykia,156,81766,4.07752E+11,25.9.14 22:32
22,320 Brest Avenue,,Kaduna,252,43331,7.47792E+11,25.9.14 22:32
23,1417 Lancaster Avenue,,Northern Cape,267,72192,2.72572E+11,25.9.14 22:33
24,1688 Okara Way,,Nothwest Border Prov,327,21954,1.44454E+11,25.9.14 22:32
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,8.92776E+11,25.9.14 22:30
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,1.61968E+11,25.9.14 22:32
27,1780 Hino Boulevard,,Liepaja,303,7716,9.02731E+11,25.9.14 22:31
28,96 Tafuna Way,,Crdoba,128,99865,9.3473E+11,25.9.14 22:30
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,1.96496E+11,25.9.14 22:32
30,18 Duisburg Boulevard,,,121,58327,9.9801E+11,25.9.14 22:31
31,217 Botshabelo Place,,Southern Mindanao,138,49521,6.65357E+11,25.9.14 22:32
32,1425 Shikarpur Manor,,Bihar,346,65599,6.78221E+11,25.9.14 22:31
33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151,25.9.14 22:31
34,1668 Anpolis Street,,Taipei,316,50199,5.25256E+11,25.9.14 22:33
35,33 Gorontalo Way,,West Bengali,257,30348,7.45995E+11,25.9.14 22:31
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,6.27706E+11,25.9.14 22:31
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,9.11872E+11,25.9.14 22:31
38,61 Tama Street,,Okayama,284,94065,7.08403E+11,25.9.14 22:31
39,391 Callao Drive,,Midi-Pyrnes,544,34021,4.40512E+11,25.9.14 22:31
40,334 Munger (Monghyr) Lane,,Markazi,31,38145,4.81183E+11,25.9.14 22:31
41,1440 Fukuyama Loop,,Henan,362,47929,9.12257E+11,25.9.14 22:30
42,269 Cam Ranh Parkway,,Chisinau,115,34689,4.89784E+11,25.9.14 22:32
43,306 Antofagasta Place,,Esprito Santo,569,3989,3.78319E+11,25.9.14 22:30
44,671 Graz Street,,Oriental,353,94399,6.80769E+11,25.9.14 22:32
45,42 Brindisi Place,,Yerevan,586,16744,42384721397,25.9.14 22:30
46,1632 Bislig Avenue,,Nonthaburi,394,61117,4.71676E+11,25.9.14 22:33
47,1447 Imus Way,,Tahiti,167,48942,5.39758E+11,25.9.14 22:31
48,1998 Halifax Drive,,Lipetsk,308,76022,1.77728E+11,25.9.14 22:32
49,1718 Valencia Street,,Antofagasta,27,37359,6.75293E+11,25.9.14 22:30
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,2.62077E+11,25.9.14 22:32
51,686 Garland Manor,,Cear,247,52535,69493378813,25.9.14 22:30
52,909 Garland Manor,,Tatarstan,367,69367,7.058E+11,25.9.14 22:32
53,725 Isesaki Place,,Mekka,237,74428,8.76295E+11,25.9.14 22:33
54,115 Hidalgo Parkway,,Khartum,379,80168,3.07704E+11,25.9.14 22:33
55,1135 Izumisano Parkway,,California,171,48150,1.71823E+11,25.9.14 22:33
56,939 Probolinggo Loop,,Galicia,1,4166,6.80428E+11,25.9.14 22:33
57,17 Kabul Boulevard,,Chiba,355,38594,6.97761E+11,25.9.14 22:31
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980,9.20811E+11,25.9.14 22:31
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807,4.99352E+11,25.9.14 22:32
60,1668 Saint Louis Place,,Tahiti,397,39072,3.47488E+11,25.9.14 22:31
61,943 Tokat Street,,Vaduz,560,45428,8.89319E+11,25.9.14 22:31
62,1114 Liepaja Street,,Sarawak,282,69226,2.12869E+11,25.9.14 22:32
63,1213 Ranchi Parkway,,Karnataka,350,94352,8.00024E+11,25.9.14 22:31
64,81 Hodeida Way,,Rajasthan,231,55561,2.50768E+11,25.9.14 22:31
65,915 Ponce Place,,Basel-Stadt,56,83980,1395251317,25.9.14 22:33
66,1717 Guadalajara Lane,,Missouri,441,85505,9.1409E+11,25.9.14 22:33
67,1214 Hanoi Way,,Nebraska,306,67055,4.91001E+11,25.9.14 22:33
68,1966 Amroha Avenue,,Sichuan,139,70385,3.33489E+11,25.9.14 22:30
69,698 Otsu Street,,Cayenne,105,71110,4.09984E+11,25.9.14 22:31
70,1150 Kimchon Manor,,Skne ln,321,96109,6.63449E+11,25.9.14 22:33
71,1586 Guaruj Place,,Hunan,579,5135,9.47233E+11,25.9.14 22:30
72,57 Arlington Manor,,Madhya Pradesh,475,48960,9.90214E+11,25.9.14 22:31
73,1031 Daugavpils Parkway,,Bchar,63,59025,1.07137E+11,25.9.14 22:29
74,1124 Buenaventura Drive,,Mekka,13,6856,4.07734E+11,25.9.14 22:32
75,492 Cam Ranh Street,,Eastern Visayas,61,50805,5.65018E+11,25.9.14 22:32
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444,2.558E+11,25.9.14 22:32
77,1947 Poos de Caldas Boulevard,,Chiayi,114,60951,4.27454E+11,25.9.14 22:33
78,1206 Dos Quebradas Place,,So Paulo,431,20207,2.41833E+11,25.9.14 22:30
79,1551 Rampur Lane,,Changhwa,108,72394,2.51164E+11,25.9.14 22:33
80,602 Paarl Street,,Pavlodar,402,98889,8.96315E+11,25.9.14 22:31
81,1692 Ede Loop,,So Paulo,30,9223,9.18711E+11,25.9.14 22:30
82,936 Salzburg Lane,,Uttar Pradesh,425,96709,8.75757E+11,25.9.14 22:31
83,586 Tete Way,,Kanagawa,256,1079,18581624103,25.9.14 22:31
