"address_id","address","address2","district","city_id","postal_code","phone","location","last_update"
1,"47 MySakila Drive",,Alberta,300,"","",POINT (-112.8185647 49.6999986),"2014-09-25 22:30:27"
2,"28 MySQL Boulevard",,QLD,576,"","",POINT (153.1408538 -27.6333361),"2014-09-25 22:30:09"
3,"23 Workhaven Lane",,Alberta,300,"","14033335568",POINT (-112.8185673 49.6999951),"2014-09-25 22:30:27"
4,"1411 Lillydale Drive",,QLD,576,"","6172235589",POINT (153.1913094 -27.6333373),"2014-09-25 22:30:09"
5,"1913 Hanoi Way","",Nagasaki,463,"35200","28303384290",POINT (129.7227851 33.1591726),"2014-09-25 22:31:53"
6,"1121 Loja Avenue","",California,449,"17886","838635286649",POINT (-117.2897714 34.1083428),"2014-09-25 22:34:01"
7,"692 Joliet Street","",Attika,38,"83579","448477190408",POINT (23.7162294 37.9794508),"2014-09-25 22:31:07"
8,"1566 Inegl Manor","",Mandalay,349,"53561","705814003527",POINT (95.3884368 21.4600272),"2014-09-25 22:32:18"
9,"53 Idfu Parkway","",Nantou,361,"42399","10655648674",POINT (120.6638785 23.9156685),"2014-09-25 22:33:16"
10,"1795 Santiago de Compostela Way","",Texas,295,"18743","860452626434",POINT (-99.5075448 27.5064117),"2014-09-25 22:33:55"
11,"900 Santiago de Compostela Parkway","",Central Serbia,280,"93896","716571220373",POINT (0 0),"2014-09-25 22:34:11"
12,"478 Joliet Way","",Hamilton,200,"77948","657282285970",POINT (175.2833399 -37.7833313),"2014-09-25 22:32:22"
13,"613 Korolev Drive","",Masqat,329,"45844","380657522649",POINT (58.5922971 23.6138798),"2014-09-25 22:32:29"
14,"1531 Sal Drive","",Esfahan,162,"53628","648856936185",POINT (51.6746246 32.6524674),"2014-09-25 22:31:36"
15,"1542 Tarlac Parkway","",Kanagawa,440,"1027","635297277345",POINT (139.3589644 35.5557889),"2014-09-25 22:31:53"
16,"808 Bhopal Manor","",Haryana,582,"10672","465887807014",POINT (0 0),"2014-09-25 22:31:30"
17,"270 Amroha Parkway","",Osmaniye,384,"29610","695479687538",POINT (36.2477824 37.0741756),"2014-09-25 22:33:27"
18,"770 Bydgoszcz Avenue","",California,120,"16266","517338314235",POINT (-121.2810649 38.7071296),"2014-09-25 22:33:47"
19,"419 Iligan Lane","",Madhya Pradesh,76,"72878","990911107354",POINT (77.4028938 23.2546953),"2014-09-25 22:31:13"
